"question","choice1","c1","choice2","c2","choice3","c3","choice4","c4","explanation"
"What is the Home Secretary responsible for?","Health","","Defence","","Education","","Policing","","The Home Secretary is responsible forcrime, policing and immigration."
"St Helena is a British overseas territory and it is part of the United Kingdom.","True","","False","","","","","","British overseas territories, such as St Helena and the Falkland Islands are linked to the UK but arenot part of it."
"Several Church of England bishops sit in the House of Lords.","True","","False","","","","","","This statement istrue."
"When walking your dog in a public place, you must ensure:","That your dog does not play with other dogs","","That your dog wears a collar showing the name and address of the owner","","That your dog wears a high visibility jacket","","That your dog does not bark","","All dogs in public places must weara collar showing the name and address of the owner."
"Women over the age of 30 were given the right to vote as a result of their contribution towards the war effort. Which war was that?","The Second World War","","The Crimean War","","The First World War","","The Civil War","","In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during theFirst World War."
"When did Ireland become a republic?","1925","","1939","","1949","","1927","","Ireland became a republic in1949."
"Where did the first farmers come from?","South-west Europe","","South-east Europe","","North-east America","","North-west Asia","","The first farmers arrived in Britain 6,000 years ago. The ancestors of these first farmers probably came fromsouth-east Europe."
"Who was an important contributor to the ‘pop art’ movement of the 1960’s?","David Hockney","","Lucian Freud","","John Petts","","Henry Moore","","David Hockneywas an important contributor to the ‘pop art’ movement of the 1960s and continues to be influential today."
"Who became Prime Minister and was an inspirational leader to the British people during WWII?","Winston Churchill","","Clement Attlee","","Margaret Thatcher","","Sir Robert Walpole","","Winston Churchill."
"Who led the first invasion of Britain?","Emperor Hadrian","","Julius Caesar","","Canute","","William, the Duke of Normandy","","Julius Caesarled a Roman invasion of Britain in 55 BC. This was unsuccessful and for nearly 100 years Britain remained separate from the Roman Empire. In AD 43 the Emperor Claudius led the Roman army in a new invasion. This time, there was resistance from some of the British tribes but the Romans were successful in occupying almost all of Britain."
"Under which king did the Anglo-Saxon kingdoms in England unite to defeat the Vikings?","William of Orange","","King Alfred the Great","","Henry VIII","","Robert the Bruce","","The Anglo-Saxon kingdoms in England united underKing Alfred the Great, who defeated the Vikings."
"When was the Magna Carta created?","1514","","1215","","1415","","1314","","The Magna Carta was created in1215."
"Northern Ireland has its own banknotes, which are valid everywhere in the UK.","True","","False","","","","","","This statement istrue."
"Which of the following plays was written by William Shakespeare?","Pride and Prejudice","","A Midsummer Night’s dream","","Sense and Sensibility","","Great Expectations","","William Shakespeare’s most famous plays includeA Midsummer Night’s dream."
"How many members does a jury have in England, Wales and Northern Ireland?","9","","12","","15","","20","","In England, Wales and Northern Ireland a jury has12 members."
"Which two of the following religious communities celebrate Diwali?","Buddhists","","Hindus","","Jews","","Sikhs","","Diwali is celebrated byHindus and Sikhs."
"What is Good Friday?","The day when Jesus Christ rose from the dead","","The day when Jesus Christ was born","","The day when Jesus Christ died","","The day when Jesus Christ became 30 years old","","Good Fridaymarks the death of Jesus Christduring the Easter."
"St Patrick’s day is a public holiday in Northern Ireland.","True","","False","","","","","","True. Only Scotland and Northern Ireland have their patron saint’s day as an official holiday (although in Scotland not all businesses and offices will close)."
"Which was the last successful foreign invasion of England that took place in 1066?","The Viking invasion","","The Anglo-Saxon Conquest","","The Roman invasion","","The Norman Conquest","","The Norman Conquestwas the last successful foreign invasion of England in 1066."
"Where are the Crown Jewels kept?","At the House of Commons","","At the Tower of London","","At Buckingham Palace","","At Windsor Castle","","The Crown Jewels are kept atthe Tower of London."
"Which sport can be traced back to the 15th century in Scotland?","Golf","","Tennis","","Football","","Rugby","","The modern game ofgolfcan be traced back to 15th century Scotland."
"Who was the first person in England to print books using a printing press?","William Shakespeare","","John Barbour","","Geoffrey Chaucer","","William Caxton","","William Caxtonwas the first person in England to print books using a printing press."
"Which court deals with minor criminal cases in England, Wales and Northern Ireland?","High Court","","Justice of the Peace Court","","Magistrates’ Court","","Crown Court","","In England, Wales and Northern Ireland, most minor criminal cases are dealt with in aMagistrates’ Court. In Scotland, minor criminal offences go to a Justice of the Peace Court."
"What did the Scottish John Logie Baird develop?","Television","","Radar","","Personal computer","","Radio","","Thetelevisionwas developed by Scotsman John Logie Baird in the 1920s."
